id,page_key,element_key,title,body,sort_order,min_role,created_by,created_at,updated_at
31,incidents,time_fields,Overall Incident times,"Using the ""tracked units"" for your station we determine the status times for overall reporting ",39,,1,2026-02-08 01:44:56.752682+00,2026-02-08 02:06:10.322015+00
32,incidents,time_time_dispatched,Time Dispatched,This is the specific time a tracked unit from your station was initially dispatched. It does not matter if this unit did not actual make the response as another unit probably took its place. ,40,,1,2026-02-08 01:47:28.517523+00,2026-02-08 02:06:02.642287+00
33,incidents,time_time_first_enroute,Enroute,The time when a tracked unit from your station first went enroute ,41,,1,2026-02-08 01:48:33.138196+00,2026-02-08 02:03:13.55498+00
34,incidents,time_time_first_on_scene,On Scene,The time that the first tracked unit from your station arrived at the scene. ,45,,1,2026-02-08 01:49:15.329873+00,2026-02-08 02:03:42.335169+00
35,incidents,time_time_fire_under_control,Under Control,"If applicable in cad this will be populated, other times it can be located in the cad event log if communicated to your dispatch center for a time stamp",46,,1,2026-02-08 01:50:39.921801+00,2026-02-08 02:06:52.106705+00
36,incidents,time_time_last_cleared,Last cleared,The time that your last on scene tracked unit from your station cleared the scene. ,47,,1,2026-02-08 01:51:24.062049+00,2026-02-08 02:07:06.341588+00
4,incidents,tenant_logout,Logout,Logs this computer out of CADReport.com ,100,,1,2026-02-07 23:21:24.722075+00,2026-02-08 13:20:23.061262+00
28,incidents,cad_units_table,CAD units,A cascade of the units that were on this incident and their status times. Reorderable for any status field for any incident with more than 3 units. ,100,,1,2026-02-08 01:21:19.995628+00,2026-02-08 01:21:19.995628+00
29,incidents,damage_assessment_section,Damage Assessment,"Reportable incidents involving fire need this field out by an appropriate officer.  This field automatically appears when mutual aid field is ""No"" or ""Yes - We received aid""",100,,1,2026-02-08 01:36:54.391243+00,2026-02-08 01:36:54.391243+00
30,incidents,personnel_grid,Personnel Assignments,"This section allows users to document riding assignments on the ""tracked"" units that went enroute to the incident. Each unit is further configurable in the admin page. A ""tracked unit"" is a unit that determines the overall station status numbers are the top of the report for dispatch, enroute, on scene, Under control and cleared.  

You will see here all assignable units, the units that actually went on the call are not dimmed out.  Please pay attention to the riding assignment positions as there is a sport for driver, officer and any remaining positions. ",100,,1,2026-02-08 01:43:07.88259+00,2026-02-08 01:43:07.88259+00
8,incidents,filter_bar,Filters,Filter incidents by year and or category,100,,1,2026-02-08 00:03:56.331998+00,2026-02-08 00:03:56.331998+00
21,incidents,address,Address,"Address from the CAD data, will update to the latest information given upon the receipt of the close CAD data. ",100,,1,2026-02-08 01:00:27.924866+00,2026-02-08 01:00:27.924866+00
22,incidents,cad_event_type,CAD Type,"CAD Event Type - The main type for the incident, this software uses this to determine the incident category automatically for Companies or Departments that run multiple categories like FIRE and EMS. ",100,,1,2026-02-08 01:02:44.676046+00,2026-02-08 01:02:44.676046+00
26,incidents,mutual_aid,Mutual Aid,"For tracking and reporting mutual aid on Fire type incidents.  

There are two type of aid listed when aid is selection Automatic and Mutual.  Automatic is dispatched automatically as in youre - on the initial, on the box alarm.  Mutual aid is for situations you were special requested. ",100,,1,2026-02-08 01:16:06.313352+00,2026-02-08 01:16:06.313352+00
25,incidents,units_called,Units Called,"This is where units on the call can be input, the auto button will automatically generate this list. can be appended with other units you want to mention. This field is a general field for the incident report print out. ",100,,1,2026-02-08 01:07:50.030429+00,2026-02-08 01:07:50.030429+00
24,incidents,narrative_block,Main Editable Text Fields,Input narratives and other incident data in text form. ,100,,1,2026-02-08 01:04:50.298318+00,2026-02-08 01:04:50.298318+00
23,incidents,cad_event_subtype,CAD Event SubType,A further drill down of the CAD Event Type,100,,1,2026-02-08 01:03:42.163139+00,2026-02-08 01:03:42.163139+00
